model,files,raw_wer,raw_cer,nwer,ncer,semdist
saaras:v3,113,0.2274,0.0774,0.0696,0.0428,0.0319
saarika:v2.5,113,0.2297,0.087,0.1635,0.0688,0.0606
ai4bharat/indic-conformer-600m-multilingual,113,0.3875,0.1615,0.3867,0.1611,0.1652
ARTPARK-IISc/whisper-large-v3-vaani-hindi,113,0.4183,0.1931,0.4166,0.1925,0.2136
facebook/mms-1b-all (lang=hin),113,0.6307,0.2678,0.6287,0.265,0.4044
openai/whisper-large-v3,113,0.6475,0.3264,0.6305,0.3188,0.3456
ai4bharat/indicwav2vec-hindi,113,0.6485,0.2882,0.6474,0.2875,0.3901
