model,files,raw_wer,raw_cer,nwer,ncer,semdist
saaras:v3,175,0.1988,0.0728,0.0676,0.0383,0.0371
saarika:v2.5,175,0.1886,0.0744,0.1283,0.0551,0.0614
ai4bharat/indic-conformer-600m-multilingual,175,0.2589,0.1104,0.258,0.1099,0.1345
ARTPARK-IISc/whisper-large-v3-vaani-hindi,175,0.3977,0.2599,0.3952,0.2589,0.1792
facebook/mms-1b-all (lang=hin),175,0.517,0.2231,0.516,0.2207,0.3565
ai4bharat/indicwav2vec-hindi,175,0.5528,0.2377,0.5522,0.2368,0.3517
openai/whisper-large-v3,175,0.5882,0.3772,0.5747,0.372,0.3156
