model,files,raw_wer,raw_cer,nwer,ncer,semdist
saaras:v3,30,0.1791,0.0588,0.0517,0.0239,0.0551
saarika:v2.5,30,0.1944,0.0716,0.1303,0.0522,0.0848
ai4bharat/indic-conformer-600m-multilingual,30,0.2395,0.096,0.2385,0.0951,0.0981
ARTPARK-IISc/whisper-large-v3-vaani-hindi,30,0.3439,0.2907,0.3429,0.2899,0.1436
facebook/mms-1b-all (lang=hin),30,0.4387,0.1917,0.4377,0.187,0.2893
ai4bharat/indicwav2vec-hindi,30,0.4626,0.1949,0.4626,0.1932,0.2666
openai/whisper-large-v3,30,0.5345,0.3552,0.5239,0.3514,0.2842
